publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2022278529-A1,Balancing in electric vehicle battery systems ,Volvo Car Corporation,"Narendar Rao GANNAMANENI, Ali DAREINI, Lars Johan Henrik Sjöstedt",3/1/2021,9/1/2022,2022
US-11858356-B2,System and method for managing energy consumption across electric vehicle fleets with telematic devices in a computing environment ,Electriphi Inc,"Sanjay Dayal, Muffaddal Ghadiali",5/17/2021,1/2/2024,2024
US-11912369-B2,System and method for managing safety and compliance for electric bikes using artificial intelligence (AI) ,Rajiv Trehan,Rajiv Trehan,10/14/2021,2/27/2024,2024
US-2024095830-A1,Method for rearranging financial service matrix to provide financial service based on bev(battery electric vehicle) and financial service system using the method ,"aiZEN Global Co., lnc.",Jung Seok KANG,9/20/2022,3/21/2024,2024
US-2024094296-A1,Method for providing financial service based on bev(battery electric vehicle) and financial service system for performing the method ,"aiZEN Global Co., lnc.",Jung Seok KANG,9/20/2022,3/21/2024,2024
US-11850968-B2,Electrified vehicle control based on validated battery cell voltages compressed and encrypted using artificial intelligence ,"Ford Global Technologies, Llc","Di Zhu, Jeffrey Joseph Campbell, Gyouho Cho",3/23/2021,12/26/2023,2023
US-2023406148-A1,Artificial Intelligence Platform for Vehicle Electrification ,14156048 Canada Inc.,"David Arsenault, François Rainville",10/29/2020,12/21/2023,2023
US-2022266718-A1,Power integrated circuit for electric vehicle applications ,Volvo Car Corporation,"Sumegh Kadam, Hicham Sadoun, Avishek Kumar Mohanty, Narendar Rao GANNAMANENI",2/22/2021,8/25/2022,2022
US-2022266717-A1,Controller integrated circuit for electric vehicle applications ,Volvo Car Corporation,"Sumegh Kadam, Hicham Sadoun, Avishek Kumar Mohanty, Narendar Rao GANNAMANENI",2/22/2021,8/25/2022,2022
US-2022410750-A1,System and method for smart charging management of electric vehicle fleets ,"MOEV, Inc.","Vandana Mangal, Chi-Cheng Chu, Yijing Jiang, Wei Lu, Weiheng Yuan, Jahnvi Ramachandran, Liam Namba",6/9/2021,12/29/2022,2022
US-2025001900-A1,Battery performance management system and method ,"Lg Energy Solution, Ltd.","Dong-myung Kim, Hyung-Sik Kim, Hyoung Jun Ahn",3/24/2020,1/2/2025,2025
US-2024388677-A1,System and method for integrating cameras with visual artificial intelligence in electric vehicle charging stations ,Pirl Technology Inc.,Kwabena Osei-Kusi,2/7/2023,11/21/2024,2024
US-2024095763-A1,Method for providing financial service using financial service matrix based on bev(battery electric vehicle) residual value and financial service system using the method ,"aiZEN Global Co., lnc.",Jung Seok KANG,9/20/2022,3/21/2024,2024
US-12174029-B1,System and method for vehicle fuel management and trip optimization ,Geotech Corp,John A. Reyhani,7/14/2022,12/24/2024,2024
US-12216721-B1,Artificial intelligence and content delivery during charging ,"Toyota Motor North America, Inc., Toyota Jidosha Kabushiki Kaisha","Christopher E. Yang, Geoffrey David Gaither, James G. Swartz, James D. Wilder, Frederick W. Mau",2/2/2024,2/4/2025,2025
US-2025042256-A1,Battery service providing system and method ,"Lg Energy Solution, Ltd.","Hyun Kim, Dong-myung Kim, Jin-Suk Kim, Hyung-Sik Kim, Hyoung Jun Ahn",6/2/2020,2/6/2025,2025
US-2024428147-A1,Customizing battery configurations for electric parcel delivery vehicles ,International Business Machines Corporation,"Sarbajit K. Rakshit, Jagabondhu Hazra, Manikandan Padmanaban",6/22/2023,12/26/2024,2024
US-2023410164-A1,"Electric vehicle charging system capable of integrated billing and collection of parking fees and electric vehicle charging fees, and integrated billing and collection method thereof ","Ecarplug Co., Ltd.",Kwangseob Shin,6/17/2022,12/21/2023,2023
US-2024222971-A1,Systems and methods for electric vehicle charging power distribution ,"Veloce Energy, Inc.","Jeffery D. WOLFE, Michael Schenck",5/14/2021,7/4/2024,2024
US-2024149744-A1,Method and apparatus for optimal timed charging ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Persson Signell",11/7/2022,5/9/2024,2024
US-2024154442-A1,Method and apparatus for optimal timed charging ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Persson Signell",11/7/2022,5/9/2024,2024
US-2024149719-A1,Method and apparatus for optimal timed charging ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Persson Signell",11/7/2022,5/9/2024,2024
US-2024149729-A1,Method and apparatus for optimal timed charging ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kosta Chatziioannou, Klas Persson Signell",11/7/2022,5/9/2024,2024
US-12049151-B2,"Multi-level battery systems for battery-operated entities, methods for rapid charge transfer therebetween, and methods for optimizing entity routing and network charge distribution ","University Of Florida Research Foundation, Incorporated","Shuo Wang, Swarup Bhunia, Prabuddha CHAKRABORTY, Robert Parker, Rohan Reddy Kalavakonda",3/10/2020,7/30/2024,2024
US-11889948-B2,Artificial intelligence cooking device ,Lg Electronics Inc.,Jichan MAENG,1/6/2020,2/6/2024,2024
US-2024149730-A1,Method and apparatus for optimal timed charging ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Signell",11/7/2022,5/9/2024,2024
US-2024149731-A1,Method and apparatus for optimal charging at charging station having a cooling system ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Persson Signell",11/7/2022,5/9/2024,2024
US-11444338-B1,Smart battery system ,"Knoetik Solutions, Inc.","Kyra Dhawan, Kian Dhawan",11/30/2021,9/13/2022,2022
